qbname;cpera;yard;int;long;sack;loss;home;points
Jeff GarciaJ. Garcia;0,615890411;206,2682927;0,666666667;65;1,471544715;7,699186992;0,512195122;22,10569106
Jeff GeorgeJ. George;0,565731167;216,4680851;0,808510638;76;2,914893617;22,04255319;0,468085106;19,4893617
Jeff HostetlerJ. Hostetler;0,587912088;181,4210526;1,263157895;69;2,210526316;12,26315789;0,473684211;22,57894737
Jeff TuelJ. Tuel;0,440677966;154,5;1,5;13;1;5,5;0,5;18,5
Jim EverettJ. Everett;0,562152134;171,2631579;1,052631579;62;1,210526316;9,684210526;0,421052632;13,21052632
Jim HarbaughJ. Harbaugh;0,582471089;175,5081967;0,819672131;58;2,475409836;14,67213115;0,459016393;17,27868852
Jim KellyJ. Kelly;0,585751979;216,1538462;1,461538462;62;2,846153846;22,07692308;0,461538462;21,76923077
Jim MillerJ. Miller;0,583838384;176,1764706;0,764705882;62;1,117647059;6,764705882;0,470588235;20
Jimmy ClausenJ. Clausen;0,540254237;120;0,666666667;44;2,047619048;13,38095238;0,523809524;12,42857143
Joe FlaccoJ. Flacco;0,615433673;236,620438;0,854014599;74;2,109489051;15,10218978;0,503649635;23,27737226
Joe GermaineJ. Germaine;0,5625;136;2;0;3;23;0;31
Joey HarringtonJ. Harrington;0,559856345;181,375;1,05;86;1,525;9,4875;0,5;16,95
John BeckJ. Beck;0,585774059;157,4444444;0,777777778;32;2,888888889;17;0,444444444;11,77777778
John ElwayJ. Elway;0,586858006;222,0227273;0,795454545;78;1,772727273;12,09090909;0,522727273;28,38636364
John FrieszJ. Friesz;0,552050473;149,4666667;0,666666667;73;1,2;7,4;0,533333333;20,53333333
John NavarreJ. Navarre;0,5;171;2,5;43;2,5;17,5;0;15,5
John SkeltonJ. Skelton;0,531561462;185,35;1,25;45;2,35;16,25;0,5;16,7
Johnny ManzielJ. Manziel;0,569767442;128,8461538;0,538461538;61;1,692307692;12,84615385;0,384615385;14
Jon KitnaJ. Kitna;0,602656461;217,1167883;1,204379562;71;2,357664234;14,50364964;0,503649635;20,97810219
Jonathan QuinnJ. Quinn;0,524663677;116,1;0,7;64;3;20,1;0,5;12
Josh FreemanJ. Freeman;0,575683594;223,7580645;1,096774194;95;1,806451613;11,12903226;0,483870968;19,74193548
Josh McCownJ. McCown;0,588489209;180,4415584;0,896103896;56;2,441558442;16,32467532;0,519480519;17,44155844
Keith NullK. Null;0,613445378;141,5;2,25;25;3,25;20,5;0,5;9
